"Magnum La Radio","Magnum La Radio"
"Mona FM","Mona FM"
"Montagne FM","Montagne FM"
"Mouv","Mouv"
"Nostalgie","Nostalgie"
"Nova","Nova"
"NRadio","NRadio"
"NRJ","NRJ"
"NRJ France Ultra HD","NRJ France Ultra HD"
"Océane FM","Océane FM"
"ODS Radio","ODS Radio"
"Ouest FM","Ouest FM"
"Oui FM","Oui FM"
"Phare FM","Phare FM"
"Pyrenées FM","Pyrenées FM"
"Radio 6","Radio 6"
"Radio 6 Boulogne-sur-Mer","Radio 6 Boulogne-sur-Mer"
"Radio 6 Calais","Radio 6 Calais"
"Radio 6 Dunkerque","Radio 6 Dunkerque"
"Radio 6 Montreuil-sur-Mer","Radio 6 Montreuil-sur-Mer"
"Radio Bassin d'Arcachon","Radio Bassin d'Arcachon"
"Radio Campus Bordeaux","Radio Campus Bordeaux"
"Radio Classique","Radio Classique"
"Radio Cristal","Radio Cristal"
"Radio Espace","Radio Espace"
"Radio Esperance","Radio Esperance"
"Radio FG","Radio FG"
"Radio Isa Grenoble","Radio Isa Grenoble"
"Radio Isa Nord Isère","Radio Isa Nord Isère"
"Radio Métropolys","Radio Métropolys"
"Radio Numéro 1","Radio Numéro 1"
"Radio Peinard Skyrock","Radio Peinard Skyrock"
"Radio Scoop Bourg-en-Bresse","Radio Scoop Bourg-en-Bresse"
"Radio Scoop Clermont-Ferrand","Radio Scoop Clermont-Ferrand"
"Radio Scoop Lyon","Radio Scoop Lyon"
"Radio Scoop Saint-Etienne","Radio Scoop Saint-Etienne"
"Radio Star Franche-Comté","Radio Star Franche-Comté"
"Radio Star PACA","Radio Star PACA"
"Radio Sun","Radio Sun"
"Radio Vinci Autoroutes Ouest Centre","Radio Vinci Autoroutes Ouest Centre"
"Radio Vinci Autoroutes Toulouse","Radio Vinci Autoroutes Toulouse"
"RCF","RCF"
"RDL Radio","RDL Radio"
"RFI Monde","RFI Monde"
"RFM","RFM"
"Rire et Chansons","Rire et Chansons"
"RMC","RMC"
"RTL","RTL"
"RTL 2","RTL 2"
"RTS","RTS"
"RVA","RVA"
"RVM","RVM"
"Sanef 107 7 EST","Sanef 107 7 EST"
"Sanef 107 7 NORD","Sanef 107 7 NORD"
"Sanef 107 7 OUEST","Sanef 107 7 OUEST"
"Sensations Bernay","Sensations Bernay"
"Sensations Essonne","Sensations Essonne"
"Sensations Yvelines","Sensations Yvelines"
"Skyrock","Skyrock"
"Sud Radio","Sud Radio"
"Sweet FM","Sweet FM"
"Sweet FM Alençon","Sweet FM Alençon"
"Sweet FM Craon","Sweet FM Craon"
"Sweet FM Laigle","Sweet FM Laigle"
"Sweet FM Le Mans","Sweet FM Le Mans"
"Sweet FM Mamers","Sweet FM Mamers"
"Sweet FM Saint-Calais","Sweet FM Saint-Calais"
"Swigg","Swigg"
"Tendance Ouest Manche","Tendance Ouest Manche"
"Tendance Ouest Orne","Tendance Ouest Orne"
"Top Music Colmar","Top Music Colmar"
"Top Music Haguenau","Top Music Haguenau"
"Top Music Sarrebourg","Top Music Sarrebourg"
"Top Music Saverne","Top Music Saverne"
"Top Music Selestat","Top Music Selestat"
"Top Music Strasbourg","Top Music Strasbourg"
"Totem Auvergne","Totem Auvergne"
"Totem Aveyron","Totem Aveyron"
"Toulouse FM","Toulouse FM"
"TSF Jazz","TSF Jazz"
"Vibration","Vibration"
"Virage Radio","Virage Radio"
"Virgin Radio","Virgin Radio"
"Voltage","Voltage"
"Wit FM","Wit FM"
